lock_id,lock_group,start_time,end_time,duration_minutes,latitude,longitude,n_observations,median_speed_kn
1,1,2021-01-18T05:21:46Z,2021-01-18T05:46:15Z,24.483333333333334,47.882596944444444,17.541116388888888,6,0.1
2,2,2021-01-18T19:20:02Z,2021-01-18T19:41:42Z,21.666666666666668,48.176173125,16.478889583333334,8,0.1
3,3,2021-01-18T20:55:00Z,2021-01-18T21:18:01Z,23.016666666666666,48.243661527777775,16.385725555555556,12,0.05
4,5,2021-01-19T20:45:02Z,2021-01-19T21:03:12Z,18.166666666666668,48.25024690476191,14.43172119047619,7,0.1
5,7,2021-01-19T21:55:00Z,2021-01-19T23:57:35Z,122.58333333333333,48.278106825396826,14.34938011904762,42,0.1
